run,seed,gen,best,time_s
1,0,181,12.7,1.1363425254821777
2,1,181,13.0,0.9915332794189453
3,2,181,12.399999999999999,0.9717714786529541
4,3,181,12.7,0.9822385311126709
5,4,181,12.1,0.9794013500213623
6,5,181,12.7,0.9789307117462158
7,6,181,12.25,0.9657385349273682
8,7,181,12.6,0.9570455551147461
9,8,181,13.0,0.9235076904296875
10,9,181,12.7,0.897742748260498
11,10,181,13.0,0.9705207347869873
12,11,181,13.0,0.9691019058227539
13,12,181,12.6,0.9991340637207031
14,13,181,12.399999999999999,0.9648213386535645
15,14,181,12.7,1.0135223865509033
16,15,181,12.7,0.9530532360076904
17,16,181,12.7,0.9621131420135498
18,17,181,12.6,0.9344327449798584
19,18,181,12.5,0.9070985317230225
20,19,181,12.6,0.9669873714447021
21,20,181,11.899999999999999,0.9798078536987305
22,21,181,13.0,0.9772257804870605
23,22,181,12.7,0.9775969982147217
24,23,181,12.7,0.9693834781646729
25,24,181,12.7,0.9722785949707031
26,25,181,13.0,0.9661059379577637
27,26,181,12.7,0.9412407875061035
28,27,181,13.0,0.9178006649017334
29,28,181,12.2,0.9716174602508545
30,29,181,12.6,0.9691808223724365
31,30,181,12.2,0.9684159755706787
32,31,181,12.1,0.9581170082092285
33,32,181,12.7,0.9829080104827881
34,33,181,13.0,0.9531223773956299
35,34,181,12.6,0.9550461769104004
36,35,181,12.100000000000001,0.9538769721984863
37,36,181,12.6,0.9346616268157959
38,37,181,13.0,0.9943242073059082
39,38,181,12.6,0.9714593887329102
40,39,181,12.6,0.9763157367706299
41,40,181,12.6,0.966719388961792
42,41,181,13.0,0.9999463558197021
43,42,181,12.299999999999999,0.9783897399902344
44,43,181,12.7,1.0410747528076172
45,44,181,12.6,0.9806935787200928
46,45,181,13.0,0.9637281894683838
47,46,181,12.1,1.0168735980987549
48,47,181,12.7,1.0574946403503418
49,48,181,12.6,1.0387814044952393
50,49,181,12.7,1.0208287239074707
51,50,181,13.0,1.2335855960845947
52,51,181,13.0,0.9880297183990479
53,52,181,12.5,0.9793181419372559
54,53,181,12.7,0.9580795764923096
55,54,181,13.0,0.9493870735168457
56,55,181,12.6,0.9184389114379883
57,56,181,13.0,0.9116876125335693
58,57,181,12.5,0.9719128608703613
59,58,181,12.7,1.0109686851501465
60,59,181,12.6,1.0052175521850586
61,60,181,12.7,0.9774570465087891
62,61,181,13.0,1.0250334739685059
63,62,181,13.0,1.0161430835723877
64,63,181,13.0,1.0423815250396729
65,64,181,11.8,1.175048589706421
66,65,181,12.6,1.0100553035736084
67,66,181,12.7,0.9904215335845947
68,67,181,13.0,1.0694046020507812
69,68,181,12.7,0.9999730587005615
70,69,181,12.399999999999999,1.0655732154846191
71,70,181,12.7,1.0606722831726074
72,71,181,12.6,1.0746514797210693
73,72,181,12.7,1.0179598331451416
74,73,181,13.0,1.0291938781738281
75,74,181,12.6,1.020737886428833
76,75,181,12.7,0.9580681324005127
77,76,181,13.0,1.0465352535247803
78,77,181,12.6,1.0619149208068848
79,78,181,12.6,1.0708725452423096
80,79,181,12.7,0.9761245250701904
81,80,181,13.0,0.9802629947662354
82,81,181,13.0,1.0053000450134277
83,82,181,12.399999999999999,1.0402753353118896
84,83,181,12.7,0.9844129085540771
85,84,181,12.7,0.9734237194061279
86,85,181,12.1,0.9884474277496338
87,86,181,12.6,1.0158638954162598
88,87,181,12.6,1.0092356204986572
89,88,181,12.2,1.0619206428527832
90,89,181,12.6,1.0063538551330566
91,90,181,13.0,1.015193223953247
92,91,181,13.0,0.9852008819580078
93,92,181,13.0,0.9835023880004883
94,93,181,12.6,0.9937477111816406
95,94,181,13.0,0.987926721572876
96,95,181,13.0,0.9898982048034668
97,96,181,12.6,1.2244808673858643
98,97,181,12.7,1.2095403671264648
99,98,181,13.0,1.1959736347198486
100,99,181,12.6,1.1150949001312256
