gen,best,avg,worst,delta_pct,lambda
0,2.4500000000000006,-2.2721500000000003,-7.499999999999999,,0.01
1,6.0,0.05359999999999986,-6.499999999999999,102.35899918579318,0.01
2,6.75,2.1704,-3.9000000000000004,3949.253731343294,0.01
3,9.05,4.252200000000001,-1.0000000000000004,95.91780316992265,0.01
4,9.65,5.9266499999999995,0.7499999999999999,39.378439396077276,0.01
5,10.7,7.345350000000001,1.4999999999999996,23.93763761990334,0.01
6,10.8,8.366950000000001,3.799999999999999,13.908118741789025,0.01
7,11.299999999999999,9.13805,3.8,9.216022564972883,0.01
8,11.6,9.99745,6.0,9.404632279315619,0.01
9,11.799999999999999,10.4069,5.899999999999999,4.095544363812769,0.01
10,12.1,10.856599999999998,6.199999999999998,4.321171530426911,0.01
11,12.1,11.055449999999999,6.8,1.8316047381316454,0.01
12,12.6,11.782149999999998,6.699999999999998,6.5732285886146595,0.01
13,12.6,11.853649999999998,5.3999999999999995,0.6068501928765153,0.01
14,12.6,11.994999999999996,8.4,1.1924597065038822,0.01
15,12.6,12.356449999999997,8.049999999999999,3.0133388912046812,0.01
16,12.6,12.37385,7.7,0.14081714408266197,0.01
17,12.6,12.386649999999998,8.25,0.10344395640805885,0.01
18,12.6,12.306049999999997,7.35,-0.650700552611081,0.01
19,12.6,12.351449999999996,8.899999999999999,0.3689242283267093,0.01
20,12.6,12.303349999999998,8.5,-0.38942796189919443,0.01
